COOPID, YEAR, MONTH, DAY, meanTemp
80211,1998,1,1,49.00000
80211,1998,1,2,49.00000
80211,1998,1,3,57.00000
80211,1998,1,4,58.50000
80211,1998,1,5,63.00000
80211,1998,1,6,65.00000
80211,1998,1,7,63.00000
80211,1998,1,8,64.50000
80211,1998,1,9,54.50000
80211,1998,1,10,52.00000
80211,1998,1,11,52.00000
80211,1998,1,12,55.00000
80211,1998,1,13,61.50000
80211,1998,1,14,64.00000
80211,1998,1,15,64.50000
80211,1998,1,16,53.50000
80211,1998,1,17,55.00000
80211,1998,1,18,55.00000
80211,1998,1,19,51.00000
80211,1998,1,20,55.00000
80211,1998,1,21,52.50000
80211,1998,1,22,61.00000
80211,1998,1,23,57.50000
80211,1998,1,24,62.00000
80211,1998,1,25,55.50000
80211,1998,1,26,49.50000
80211,1998,1,27,49.50000
80211,1998,1,28,52.00000
80211,1998,1,29,52.50000
80211,1998,1,30,53.50000
80211,1998,1,31,54.50000
80211,1998,2,1,53.50000
80211,1998,2,2,58.50000
80211,1998,2,3,60.50000
80211,1998,2,4,51.50000
80211,1998,2,5,50.00000
80211,1998,2,6,47.50000
80211,1998,2,7,49.00000
80211,1998,2,8,48.00000
80211,1998,2,9,51.00000
80211,1998,2,10,56.00000
80211,1998,2,11,59.50000
80211,1998,2,12,56.00000
80211,1998,2,13,55.00000
80211,1998,2,14,54.50000
80211,1998,2,15,56.50000
80211,1998,2,16,61.50000
80211,1998,2,17,64.50000
80211,1998,2,18,59.50000
80211,1998,2,19,56.50000
80211,1998,2,20,56.50000
80211,1998,2,21,57.50000
80211,1998,2,22,59.50000
80211,1998,2,23,57.00000
80211,1998,2,24,60.00000
80211,1998,2,25,54.50000
80211,1998,2,26,-99.90000
80211,1998,2,27,70.00000
80211,1998,2,28,67.00000
80211,1998,2,29,-99.90000
80211,1998,3,1,63.00000
80211,1998,3,2,58.00000
80211,1998,3,3,50.50000
80211,1998,3,4,50.00000
80211,1998,3,5,53.50000
80211,1998,3,6,62.00000
80211,1998,3,7,66.50000
80211,1998,3,8,67.50000
80211,1998,3,9,-99.90000
80211,1998,3,10,47.00000
80211,1998,3,11,44.00000
80211,1998,3,12,44.50000
80211,1998,3,13,48.00000
80211,1998,3,14,52.00000
80211,1998,3,15,54.50000
80211,1998,3,16,61.00000
80211,1998,3,17,62.00000
80211,1998,3,18,65.00000
80211,1998,3,19,66.50000
80211,1998,3,20,65.00000
80211,1998,3,21,53.00000
80211,1998,3,22,51.00000
80211,1998,3,23,57.50000
80211,1998,3,24,59.00000
80211,1998,3,25,62.50000
80211,1998,3,26,66.00000
80211,1998,3,27,66.50000
80211,1998,3,28,70.00000
80211,1998,3,29,69.50000
80211,1998,3,30,72.50000
80211,1998,3,31,72.50000
80211,1998,4,1,71.00000
80211,1998,4,2,75.00000
80211,1998,4,3,75.00000
80211,1998,4,4,76.00000
80211,1998,4,5,64.50000
80211,1998,4,6,61.50000
80211,1998,4,7,66.50000
80211,1998,4,8,72.00000
80211,1998,4,9,75.50000
80211,1998,4,10,67.00000
80211,1998,4,11,61.50000
80211,1998,4,12,62.00000
80211,1998,4,13,60.00000
80211,1998,4,14,71.50000
80211,1998,4,15,73.50000
80211,1998,4,16,73.00000
80211,1998,4,17,74.00000
80211,1998,4,18,75.50000
80211,1998,4,19,68.50000
80211,1998,4,20,67.00000
80211,1998,4,21,65.00000
80211,1998,4,22,64.50000
80211,1998,4,23,66.00000
80211,1998,4,24,64.00000
80211,1998,4,25,64.50000
80211,1998,4,26,66.50000
80211,1998,4,27,65.50000
80211,1998,4,28,72.00000
80211,1998,4,29,73.50000
80211,1998,4,30,73.50000
80211,1998,5,1,75.00000
80211,1998,5,2,72.50000
80211,1998,5,3,76.00000
80211,1998,5,4,73.00000
80211,1998,5,5,71.50000
80211,1998,5,6,72.00000
80211,1998,5,7,77.50000
80211,1998,5,8,79.50000
80211,1998,5,9,78.00000
80211,1998,5,10,78.00000
80211,1998,5,11,76.50000
80211,1998,5,12,77.00000
80211,1998,5,13,76.50000
80211,1998,5,14,76.00000
80211,1998,5,15,80.00000
80211,1998,5,16,81.50000
80211,1998,5,17,77.50000
80211,1998,5,18,81.50000
80211,1998,5,19,82.00000
80211,1998,5,20,82.00000
80211,1998,5,21,82.00000
80211,1998,5,22,77.00000
80211,1998,5,23,80.50000
80211,1998,5,24,78.50000
80211,1998,5,25,79.50000
80211,1998,5,26,83.50000
80211,1998,5,27,83.50000
80211,1998,5,28,82.50000
80211,1998,5,29,82.00000
80211,1998,5,30,80.50000
80211,1998,5,31,82.00000
80211,1998,6,1,83.00000
80211,1998,6,2,86.50000
80211,1998,6,3,84.00000
80211,1998,6,4,84.50000
80211,1998,6,5,85.00000
80211,1998,6,6,79.50000
80211,1998,6,7,79.50000
80211,1998,6,8,78.50000
80211,1998,6,9,82.00000
80211,1998,6,10,83.00000
80211,1998,6,11,82.00000
80211,1998,6,12,82.50000
80211,1998,6,13,86.50000
80211,1998,6,14,85.50000
80211,1998,6,15,85.50000
80211,1998,6,16,85.50000
80211,1998,6,17,84.50000
80211,1998,6,18,84.00000
80211,1998,6,19,86.50000
80211,1998,6,20,85.00000
80211,1998,6,21,83.50000
