Date,abundance,temp
1998-08-20,1354.0,85.5
1998-08-25,5008.0,85.0
1998-09-01,4000.0,86.0
1998-09-08,490.0,85.5
1998-09-10,1336.0,81.5
1998-09-17,1232.0,84.0
1998-09-29,104.0,83.5
1998-10-06,123.0,85.0
1998-10-13,54.0,80.5
1998-10-19,82.0,81.0
1998-10-27,51.0,78.5
1998-11-03,171.0,81.0
1998-11-09,13.0,75.5
1998-12-02,35.0,77.5
1998-12-10,133.0,77.0
1998-12-22,892.0,77.0
1999-01-07,114.0,66.0
1999-01-13,157.0,72.0
1999-01-20,550.0,74.0
1999-02-02,1080.0,73.0
1999-02-11,1000.0,76.0
1999-03-02,80.0,65.5
1999-03-10,24.0,72.0
1999-03-17,1192.0,72.0
1999-03-24,948.0,74.0
1999-03-30,33.0,76.0
1999-04-07,62.0,77.5
1999-04-14,31.0,77.0
1999-04-19,61.0,70.0
1999-04-26,3000.0,81.0
1999-05-04,5312.0,76.0
1999-05-13,924.0,79.0
1999-05-18,496.0,79.5
1999-05-25,840.0,80.5
1999-06-02,8096.0,84.0
1999-06-08,221.0,80.0
1999-06-17,2160.0,83.5
1999-06-22,8128.0,83.5
1999-06-30,2345.0,83.0
1999-07-06,5184.0,83.5
1999-07-12,7680.0,85.0
1999-07-20,12833.0,86.5
1999-07-26,3016.0,85.0
1999-08-02,723.0,82.0
1999-08-16,992.0,86.5
1999-08-26,498.0,83.5
1999-08-31,509.0,86.0
1999-09-08,303.0,83.5
1999-09-13,210.0,84.0
1999-09-22,257.0,83.5
1999-09-27,95.0,83.0
1999-10-04,47.0,84.5
1999-10-12,18.0,81.0
1999-10-26,46.0,76.0
1999-11-04,25.0,70.5
1999-11-09,33.0,76.5
1999-11-18,17.0,75.0
1999-11-22,8.0,75.0
1999-11-30,4.0,71.5
1999-12-08,29.0,75.5
1999-12-13,34.0,77.0
1999-12-21,13.0,77.0
1999-12-28,8.0,67.0
2000-01-05,9.0,70.5
2000-01-11,4.0,74.0
2000-01-18,3.0,63.5
2000-01-31,6.0,70.5
2000-02-07,21.0,67.5
2000-02-15,125.0,75.5
2000-02-22,46.0,71.0
2000-02-29,24.0,74.5
2000-03-07,3.0,72.5
2000-03-14,2.0,75.0
2000-03-21,128.0,78.5
2000-03-28,254.0,73.5
2000-04-04,18.0,79.5
2000-04-11,3.0,75.5
2000-04-18,27.0,75.0
2000-04-25,482.0,81.5
2000-05-02,252.0,78.0
2000-05-08,147.0,80.5
2000-05-17,1440.0,81.0
2000-05-23,588.0,81.0
2000-05-30,295.0,82.0
2000-06-06,49.0,84.5
2000-06-13,1386.0,84.5
2000-06-20,5376.0,84.5
2000-06-27,1285.0,82.0
2000-06-29,1648.0,86.5
2000-07-06,658.0,83.0
2000-07-11,14238.0,84.0
2000-07-18,6000.0,85.0
2000-07-25,2202.0,86.0
2000-08-01,1228.0,84.5
2000-08-08,1806.0,82.5
2000-08-15,480.0,84.5
2000-08-22,173.0,86.0
2000-08-29,1930.0,82.0
2000-09-05,490.0,86.0
2000-09-12,1361.0,84.0
2000-09-19,168.0,81.5
2000-09-26,341.0,83.0
2000-10-03,60.0,78.5
2000-10-10,47.0,76.0
2000-10-16,95.0,76.5
2000-10-24,101.0,78.5
