YEAR,DOY,TAEN,DEIN,NIGR,ATRO,QUIN,CRUC,BAHA,INFI,ATLA,CILI,COLU,SOLL,AEGY,TRIS,LOWI,QUAD,ERRA,ATRA,IODO,PECC,UNIM,SALI,MELA,WYMI,FERO,JOHN,TORT,ALBI,COND,MULR,PILO,DECL,INOR,GRAB,TITI,UNID,TOTAL
1998,232,"1,272.00",76,4,0,,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"1,354.00"
1998,237,"4,792.00",48,24,0,,0,0,24,8,64,16,32,,,,,,,,,,,,,,,,,,,,,,,,,"5,008.00"
1998,244,"4,000.00",0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"4,000.00"
1998,251,488,0,0,1,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,490
1998,253,"1,324.00",4,0,8,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"1,336.00"
1998,260,"1,166.00",33,0,9,,12,0,9,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,"1,232.00"
1998,272,90,0,0,10,,0,0,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,104
1998,279,117,0,0,6,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,123
1998,286,50,2,1,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,54
1998,292,62,4,15,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,82
1998,300,15,2,7,27,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,51
1998,307,116,1,9,45,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,171
1998,313,11,1,0,0,,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,13
1998,336,32,3,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,35
1998,344,130,3,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,133
1998,356,772,88,0,32,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,892
1999,7,60,39,0,6,,0,9,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,114.00
1999,13,143,6,0,4,,0,3,0,0,0,0,1,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,157.00
1999,20,530,10,0,2,,0,8,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,550.00
1999,33,"1,016.00",28,4,16,,0,16,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,"1,080.00"
1999,42,984,4,4,0,,0,8,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,"1,000.00"
1999,61,77,0,0,0,,0,3,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,80
1999,69,22,0,0,0,,0,2,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,24
1999,76,"1,168.00",16,0,0,,0,8,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,"1,192.00"
1999,83,936,0,0,6,,0,6,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,948
1999,89,39,0,0,0,,0,4,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,33
1999,97,21,26,0,2,,0,13,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,62
1999,104,6,2,0,1,,0,22,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,31
1999,109,4,10,0,0,,0,47,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,61
1999,116,"3,000.00",0,0,0,,0,0,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,"3,000.00"
1999,124,"5,296.00",0,0,0,,0,16,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,"5,312.00"
1999,133,903,9,0,6,,0,6,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,924
1999,138,492,0,0,3,,0,1,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,496
1999,145,824,0,0,16,,0,0,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,840
1999,153,"7,936.00",64,0,32,,0,64,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,"8,096.00"
1999,159,220,0,1,0,,0,0,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,221
1999,168,"2,136.00",24,0,0,,0,0,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,"2,160.00"
1999,173,"8,096.00",0,0,32,,0,0,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,"8,128.00"
1999,181,"2,320.00",0,0,25,,0,0,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,"2,345.00"
1999,187,"5,152.00",32,0,0,,0,0,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,"5,184.00"
1999,193,"7,488.00",160,0,32,,0,0,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,"7,680.00"
1999,201,"12,800.00",32,0,0,,0,0,0,0,1,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,"12,833.00"
1999,207,"3,008.00",8,0,0,,0,0,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,"3,016.00"
1999,214,699,21,0,3,,0,0,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,723
1999,228,912,32,0,36,,4,8,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,992
1999,238,492,0,0,6,,0,0,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,498
1999,243,416,24,0,60,,0,8,0,0,1,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,509
1999,251,186,0,3,105,,0,9,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,303
1999,256,160,6,0,42,,0,2,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,210
1999,265,172,1,0,71,,0,9,3,0,1,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,257
1999,270,16,1,1,74,,0,2,0,0,0,1,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,95
1999,277,12,0,6,6,,4,0,9,0,0,6,0,,,,0,0,1,,,2,0,,,,,,,,,,,,,,,47
1999,285,6,0,0,7,,2,0,2,0,0,1,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,18
1999,299,0,0,4,6,,0,0,7,0,1,27,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,46
1999,308,0,3,5,8,,2,1,0,2,0,4,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,25
1999,313,2,3,7,5,,9,3,0,0,0,0,0,,,,0,3,0,,,0,0,,,,,,,,,,,,,,,33
1999,322,0,1,6,3,,5,1,0,0,0,0,0,,,,1,0,0,,,0,0,,,,,,,,,,,,,,,17
1999,326,0,0,3,3,,0,1,0,1,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,8
1999,334,0,0,0,3,,1,0,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,4
1999,342,2,0,0,23,,1,1,1,0,0,0,0,,,,0,0,1,,,0,0,,,,,,,,,,,,,,,29
1999,347,13,1,3,14,,0,0,3,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,34
1999,355,8,0,0,5,,0,0,0,0,0,0,0,,,,0,0,0,,,0,0,,,,,,,,,,,,,,,13
1999,362,3,0,0,4,,0,0,0,0,0,0,0,,,,0,0,0,,,0,1,,,,,,,,,,,,,,,8
